2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":151,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:37.3192859Z"}

2019-07-09 15:50:37 | [verify_CancelOrder_violatedFlow] | (CancelOrder.java:49) | RESPONSE:{"id":151,"status":"ONGOING","ongoingTime":"2019-07-09T10:20:37.3192859Z"}

2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/151/complete
2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"id":151,"status":"COMPLETED","completedAt":"2019-07-09T10:20:37.3483144Z"}

2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:53) | REQUEST-URL:POST-http://localhost:51544/v1/orders/151/cancel
2019-07-09 15:50:37 | [method_PUT] | (APIMethods.java:61) | RESPONSE:{"message":"Order status is COMPLETED already"}

